iter	Passed	Remaining
464	743	854
465	744	852
466	745	850
467	746	848
468	747	846
469	748	844
470	750	842
471	751	840
472	752	838
473	753	836
474	754	834
475	756	832
476	757	830
477	758	828
478	759	826
479	761	824
480	762	822
481	763	820
482	764	818
483	765	816
484	767	814
485	768	812
486	769	810
487	770	808
488	771	806
489	772	804
490	774	802
491	775	800
492	776	798
493	777	796
494	778	794
495	780	792
496	781	790
497	782	788
498	783	787
499	785	785
500	786	783
501	787	781
502	788	779
503	789	777
504	790	775
505	792	773
506	793	771
507	794	769
508	795	767
509	799	768
510	800	766
511	801	764
512	803	762
513	804	760
514	805	758
515	806	756
516	807	754
517	809	753
518	810	751
519	812	749
520	813	747
521	814	745
522	815	744
523	817	742
524	818	740
525	819	738
526	820	736
527	821	734
528	822	732
529	824	730
530	825	728
531	826	726
532	827	724
533	828	723
534	829	721
535	831	719
536	832	717
537	833	716
538	835	714
539	836	712
540	837	710
541	838	708
542	839	706
543	841	704
544	842	703
545	843	701
546	844	699
547	845	697
548	847	695
549	848	694
550	849	692
551	850	690
552	851	688
553	853	686
554	854	685
555	855	683
556	856	681
557	858	679
558	859	677
559	860	676
560	861	674
561	862	672
562	863	670
563	865	668
564	867	667
565	868	666
566	870	664
567	871	662
568	872	661
569	874	659
570	875	657
571	876	655
572	877	653
573	878	652
574	880	650
575	881	648
576	882	646
577	883	645
578	884	643
579	885	641
580	887	639
581	888	638
582	889	636
583	890	634
584	891	632
585	893	631
586	894	629
587	895	627
588	896	625
589	898	624
590	899	622
591	900	620
592	901	618
593	902	617
594	904	615
595	905	613
596	906	611
597	907	610
598	908	608
599	910	606
600	911	604
601	912	603
602	913	601
603	914	599
604	916	598
605	917	596
606	918	594
607	919	592
608	920	591
609	922	589
610	923	587
611	924	586
612	925	584
613	926	582
614	928	580
615	929	579
616	930	577
617	931	575
618	932	574
619	933	572
620	935	570
621	936	569
622	937	567
623	938	565
624	940	564
625	941	562
626	942	560
627	943	559
628	944	557
629	946	555
630	947	553
631	948	552
632	949	550
633	950	548
634	952	547
635	953	545
636	954	543
637	955	542
638	956	540
639	958	538
640	959	537
641	960	535
642	961	533
643	963	532
644	964	530
645	965	529
646	966	527
647	968	525
648	969	524
649	970	522
650	971	520
651	972	519
652	974	517
653	975	515
654	976	514
655	977	512
656	978	510
657	979	509
658	981	507
659	982	506
660	983	504
661	984	502
662	985	501
663	987	499
664	988	497
665	989	496
666	990	494
667	991	492
668	993	491
669	994	489
670	995	488
671	996	486
672	997	484
673	999	483
674	1000	481
675	1001	480
676	1003	478
677	1004	476
678	1005	475
679	1006	473
680	1007	472
681	1009	470
682	1010	468
683	1011	467
684	1012	465
685	1013	464
686	1015	462
687	1016	460
688	1017	459
689	1018	457
690	1020	456
691	1021	454
692	1022	453
693	1024	451
694	1025	449
695	1026	448
696	1027	446
697	1028	445
698	1030	443
699	1031	442
700	1032	440
701	1033	438
702	1034	437
703	1036	435
704	1037	434
705	1038	432
706	1039	430
707	1041	429
708	1042	427
709	1043	426
710	1044	424
711	1045	423
712	1047	421
713	1048	419
714	1049	418
715	1050	416
716	1051	415
717	1053	413
718	1054	412
719	1055	410
720	1056	408
721	1057	407
722	1059	405
723	1060	404
724	1061	402
725	1062	401
726	1063	399
727	1065	397
728	1066	396
729	1067	394
730	1068	393
731	1070	391
732	1071	390
733	1072	388
734	1073	387
735	1075	385
736	1076	384
737	1077	382
738	1078	381
739	1079	379
740	1081	377
741	1082	376
742	1083	374
743	1084	373
744	1085	371
745	1087	370
746	1088	368
747	1089	367
748	1090	365
749	1092	364
750	1093	362
751	1094	360
752	1095	359
753	1097	357
754	1098	356
755	1099	354
756	1100	353
757	1102	351
758	1104	350
759	1105	349
760	1107	347
761	1108	346
762	1110	344
763	1111	343
764	1112	341
765	1114	340
766	1115	338
767	1116	337
768	1117	335
769	1118	334
770	1120	332
771	1121	331
772	1122	329
773	1123	328
774	1124	326
775	1126	325
776	1127	323
777	1128	322
778	1129	320
779	1131	319
780	1132	317
781	1133	315
782	1134	314
783	1135	312
784	1137	311
785	1138	309
786	1139	308
787	1140	306
788	1142	305
789	1143	303
790	1144	302
791	1145	300
792	1146	299
793	1147	297
794	1152	297
795	1153	295
796	1155	294
797	1156	292
798	1157	291
799	1158	289
800	1159	288
801	1161	286
802	1162	285
803	1163	283
804	1164	282
805	1166	280
806	1167	279
807	1168	277
808	1169	276
809	1170	274
810	1172	273
811	1173	271
812	1174	270
813	1175	268
814	1176	267
815	1178	265
816	1179	264
817	1180	262
818	1181	261
819	1182	259
820	1184	258
821	1185	256
822	1186	255
823	1187	253
824	1188	252
825	1190	250
826	1191	249
827	1192	247
828	1193	246
829	1194	244
830	1196	243
831	1197	241
832	1198	240
833	1199	238
834	1200	237
835	1201	235
836	1203	234
837	1204	232
838	1205	231
839	1206	229
840	1208	228
841	1209	226
842	1210	225
843	1211	223
844	1212	222
845	1214	221
846	1215	219
847	1216	218
848	1217	216
849	1218	215
850	1220	213
851	1221	212
852	1222	210
853	1223	209
854	1224	207
855	1226	206
856	1227	204
857	1228	203
858	1229	201
859	1230	200
860	1232	198
861	1233	197
862	1234	195
863	1235	194
864	1236	193
865	1238	191
866	1239	190
867	1240	188
868	1241	187
869	1242	185
870	1243	184
871	1245	182
872	1246	181
873	1247	179
874	1248	178
875	1250	176
876	1251	175
877	1252	174
878	1253	172
879	1254	171
880	1255	169
881	1257	168
882	1258	166
883	1259	165
884	1260	163
885	1261	162
886	1263	160
887	1264	159
888	1265	158
889	1266	156
890	1268	155
891	1269	153
892	1270	152
893	1271	150
894	1272	149
895	1274	147
896	1275	146
897	1276	144
898	1277	143
899	1278	142
900	1280	140
901	1281	139
902	1282	137
903	1284	136
904	1285	134
905	1286	133
906	1287	132
907	1289	130
908	1290	129
909	1291	127
910	1292	126
911	1293	124
912	1295	123
913	1296	121
914	1297	120
915	1298	119
916	1299	117
917	1301	116
918	1302	114
919	1303	113
920	1304	111
921	1306	110
922	1307	109
923	1308	107
924	1309	106
925	1311	104
926	1312	103
927	1313	101
928	1314	100
929	1315	99
930	1317	97
931	1318	96
932	1319	94
933	1320	93
934	1322	91
935	1323	90
936	1324	89
937	1325	87
938	1326	86
939	1327	84
940	1329	83
941	1330	81
942	1331	80
943	1332	79
944	1334	77
945	1335	76
946	1336	74
947	1337	73
948	1338	71
949	1340	70
950	1341	69
951	1342	67
952	1343	66
953	1345	64
954	1346	63
955	1347	62
956	1348	60
957	1349	59
958	1351	57
959	1352	56
960	1353	54
961	1354	53
962	1355	52
963	1357	50
964	1358	49
965	1359	47
966	1360	46
967	1361	45
968	1363	43
969	1364	42
970	1365	40
971	1366	39
972	1367	37
973	1369	36
974	1370	35
975	1371	33
976	1372	32
977	1374	30
978	1375	29
979	1376	28
980	1377	26
981	1379	25
982	1380	23
983	1381	22
984	1382	21
985	1383	19
986	1385	18
987	1386	16
988	1387	15
989	1388	14
990	1389	12
991	1391	11
992	1392	9
993	1393	8
994	1394	7
995	1395	5
996	1397	4
997	1398	2
998	1399	1
999	1400	0
