iter	RMSE
475	2.552530208
476	2.550213068
477	2.545444122
478	2.545157568
479	2.538625203
480	2.53674799
481	2.535422652
482	2.532077218
483	2.524528468
484	2.516855614
485	2.512593689
486	2.509430984
487	2.505134092
488	2.501085143
489	2.496781072
490	2.496577438
491	2.496358398
492	2.489976616
493	2.485886504
494	2.481699888
495	2.478050991
496	2.474199495
497	2.469814134
498	2.465559125
499	2.459353202
500	2.459024104
501	2.45796881
502	2.450123507
503	2.449891609
504	2.44930519
505	2.445879012
506	2.439367275
507	2.436377589
508	2.432426955
509	2.427829851
510	2.426149967
511	2.422972602
512	2.418214213
513	2.413397306
514	2.412572143
515	2.407576544
516	2.406328798
517	2.400617171
518	2.396053192
519	2.388286448
520	2.379515269
521	2.375598963
522	2.369786688
523	2.36489779
524	2.360192882
525	2.355139465
526	2.350296374
527	2.350076087
528	2.345562705
529	2.342054433
530	2.338098389
531	2.336588665
532	2.3355469
533	2.330736026
534	2.329468222
535	2.324401746
536	2.318864339
537	2.314392301
538	2.3114608
539	2.311164925
540	2.307444109
541	2.307237477
542	2.304262187
543	2.300006007
544	2.295960271
545	2.293791637
546	2.291011435
547	2.287368374
548	2.282634624
549	2.277284279
550	2.273320891
551	2.268713967
552	2.26472994
553	2.261190204
554	2.25508539
555	2.250777511
556	2.247198611
557	2.242490505
558	2.238416633
559	2.23743698
560	2.236885771
561	2.235187776
562	2.23110575
563	2.227534869
564	2.223726399
565	2.219572388
566	2.21785648
567	2.21406262
568	2.210166123
569	2.206851237
570	2.203998602
571	2.200579039
572	2.194523321
573	2.190579585
574	2.187615288
575	2.185078307
576	2.182248879
577	2.178857479
578	2.175877921
579	2.175634511
580	2.175423538
581	2.174887448
582	2.168927119
583	2.164129423
584	2.15979984
585	2.157256474
586	2.151504688
587	2.150838612
588	2.147086579
589	2.143427033
590	2.141070996
591	2.13860442
592	2.138361509
593	2.135092539
594	2.133147233
595	2.132557657
596	2.126684391
597	2.123921134
598	2.121305094
599	2.117294126
600	2.114822027
601	2.114595102
602	2.111457302
603	2.108818758
604	2.10469263
605	2.101799184
606	2.095086856
607	2.092382012
608	2.089376437
609	2.084556141
610	2.082016613
611	2.079348191
612	2.074056332
613	2.069702832
614	2.069154939
615	2.069015043
616	2.067594487
617	2.064014805
618	2.059433246
619	2.059269931
620	2.055632912
621	2.053122426
622	2.052973657
623	2.049200038
624	2.044878786
625	2.041159049
626	2.036017788
627	2.032491304
628	2.029245751
629	2.025966088
630	2.022285093
631	2.017146021
632	2.011107138
633	2.00875696
634	2.004892104
635	2.002794325
636	1.998679402
637	1.995944289
638	1.993727387
639	1.990283561
640	1.98762753
641	1.982245787
642	1.982080041
643	1.978413055
644	1.975694736
645	1.973300375
646	1.970026385
647	1.967015103
648	1.963384071
649	1.963175271
650	1.961553713
651	1.960727909
652	1.960483882
653	1.954881411
654	1.952112543
655	1.94700104
656	1.941542279
657	1.939688315
658	1.935163512
659	1.93108938
660	1.927889083
661	1.924601709
662	1.92097102
663	1.918593054
664	1.913870799
665	1.911049073
666	1.906660416
667	1.902638762
668	1.900394633
669	1.897939343
670	1.894242344
671	1.890759958
672	1.887741368
673	1.883778312
674	1.879180962
675	1.876809615
676	1.876425258
677	1.873523371
678	1.870352823
679	1.865577966
680	1.862126907
681	1.859337109
682	1.855376097
683	1.851747879
684	1.846999872
685	1.846698379
686	1.843029334
687	1.840976583
688	1.83775449
689	1.833159048
690	1.829610071
691	1.827499373
692	1.824635959
693	1.819866168
694	1.818887958
695	1.815281982
696	1.812401519
697	1.809613608
698	1.808774421
699	1.805951048
700	1.80223183
701	1.797966807
702	1.795737975
703	1.795121414
704	1.792555952
705	1.791945127
706	1.788178424
707	1.78593859
708	1.782454424
709	1.780429997
710	1.776582256
711	1.775681442
712	1.771431919
713	1.767817345
714	1.765766234
715	1.765600648
716	1.762094681
717	1.758958667
718	1.755741724
719	1.75315153
720	1.751135031
721	1.746520181
722	1.743782521
723	1.740722679
724	1.736596464
725	1.733325134
726	1.73028972
727	1.726465937
728	1.726282643
729	1.723338527
730	1.72128863
731	1.719558653
732	1.716570699
733	1.712431799
734	1.709530602
735	1.707934301
736	1.706065349
737	1.703721955
738	1.70116703
739	1.697728213
740	1.69432183
741	1.69176736
742	1.689447228
743	1.686572346
744	1.682175543
745	1.679677313
746	1.677117595
747	1.674873146
748	1.672748144
749	1.670534237
750	1.667853864
751	1.663457295
752	1.662176072
753	1.65951389
754	1.655155514
755	1.654572941
756	1.651559642
757	1.648636018
758	1.646073496
759	1.642163752
760	1.641968446
761	1.638652683
762	1.635596587
763	1.632631568
764	1.628768039
765	1.628384607
766	1.624369317
767	1.622152993
768	1.61865671
769	1.618463185
770	1.614994899
771	1.611510576
772	1.60804043
773	1.607341185
774	1.602748153
775	1.600880682
776	1.597480206
777	1.594883735
778	1.59174868
779	1.588128868
780	1.586562902
781	1.58480232
782	1.582006863
783	1.581306255
784	1.57847751
785	1.57592868
786	1.573377871
787	1.572405009
788	1.56960636
789	1.56802073
790	1.567898843
791	1.567749447
792	1.565623903
793	1.563371589
794	1.560978248
795	1.560825298
796	1.560350498
797	1.557985366
798	1.557816727
799	1.55541347
800	1.552915651
801	1.551219001
802	1.549129993
803	1.548745819
804	1.545662512
805	1.545394053
806	1.54526447
807	1.541428884
808	1.53917492
809	1.537867713
810	1.533256439
811	1.533151713
812	1.529524127
813	1.526465917
814	1.523054326
815	1.519988932
816	1.516452764
817	1.514002847
818	1.513605661
819	1.512232168
820	1.507948652
821	1.505317887
822	1.503430697
823	1.500098953
824	1.498017605
825	1.496908134
826	1.495063089
827	1.494942967
828	1.494310527
829	1.490153672
830	1.48986749
831	1.488978002
832	1.485881021
833	1.482534283
834	1.479347204
835	1.476511361
836	1.475437702
837	1.473403198
838	1.472602451
839	1.469499273
840	1.467730626
841	1.467524759
842	1.464519317
843	1.462777493
844	1.462675101
845	1.460591914
846	1.456171997
847	1.456055886
848	1.454028392
849	1.453315548
850	1.451314783
851	1.447773078
852	1.447343273
853	1.444597648
854	1.441280145
855	1.437695147
856	1.43604394
857	1.435800582
858	1.43295898
859	1.432851738
860	1.43176516
861	1.429465558
862	1.426308924
863	1.425282973
864	1.421605099
865	1.41821608
866	1.414591933
867	1.414325863
868	1.412744234
869	1.412502053
870	1.412384307
871	1.410539945
872	1.40819873
873	1.404708662
874	1.402397008
875	1.400355378
876	1.396834683
877	1.396741934
878	1.393749643
879	1.391715506
880	1.389335062
881	1.388725838
882	1.386017878
883	1.382606033
884	1.381681505
885	1.378685857
886	1.376148723
887	1.372856501
888	1.372446008
889	1.371094744
890	1.369612825
891	1.36602297
892	1.363213166
893	1.360426394
894	1.357846175
895	1.355649775
896	1.352473716
897	1.352305186
898	1.352191156
899	1.349630576
900	1.347549713
901	1.346138355
902	1.342467311
903	1.338885769
904	1.336610911
905	1.333296086
906	1.329832574
907	1.329752625
908	1.327835006
909	1.326722966
910	1.324871262
911	1.324128592
912	1.322209033
913	1.322090163
914	1.318948995
915	1.31833744
916	1.315213205
917	1.313587983
918	1.312488216
919	1.309289141
920	1.306200341
921	1.303629364
922	1.301399312
923	1.299399852
924	1.297141609
925	1.295542837
926	1.292990362
927	1.292905831
928	1.292583226
929	1.290794542
930	1.288975366
931	1.286171546
932	1.28555771
933	1.283152427
934	1.28161327
935	1.279785426
936	1.278031003
937	1.274932405
938	1.271344843
939	1.271224662
940	1.270784614
941	1.269341468
942	1.267305464
943	1.264354706
944	1.26201793
945	1.259042281
946	1.256986724
947	1.254255953
948	1.250248712
949	1.24848214
950	1.248370611
951	1.244480712
952	1.243352506
953	1.242082089
954	1.241964504
955	1.241460861
956	1.239524112
957	1.23895943
958	1.238632937
959	1.23589151
960	1.23578184
961	1.233826991
962	1.23358392
963	1.231014997
964	1.229122816
965	1.226657776
966	1.226567503
967	1.224091339
968	1.221894243
969	1.218788459
970	1.215955306
971	1.215136896
972	1.213741374
973	1.211987818
974	1.209637842
975	1.208408175
976	1.206698774
977	1.20443218
978	1.201892234
979	1.199460826
980	1.197260517
981	1.19571141
982	1.195610094
983	1.195520032
984	1.19378359
985	1.193709949
986	1.193403805
987	1.190532044
988	1.188132166
989	1.18631704
990	1.184755915
991	1.183671091
992	1.182702074
993	1.179990759
994	1.178822381
995	1.176222901
996	1.173589905
997	1.170263464
998	1.169663891
999	1.167449108
